jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Selar (Trevallies),54912.0,71675.0,85220.0,30253.0,96680.0,135149.0,208440.0,159095.0,111952.0,116877.0,86308.0,78035.0
Kuwe (Jack trevallies),0.0,100.0,90.0,90.0,524.0,393.0,126.0,397.0,5660.0,1166.0,644.0,254.0
Layang (Scad),337433.0,406484.0,501297.0,729763.0,739106.0,763832.0,1115555.0,915851.0,648377.0,771149.0,1090156.0,904047.0
Sunglir (Rainbow runner),9330.0,3340.0,45715.0,6418.0,52277.0,17007.0,20759.0,10155.0,9197.0,9727.0,3391.0,3362.0
Bawal hitam (Black pomfret),0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
Kakap putih (Barramundi),0.0,0.0,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0,0.0
Siro (Spotted sardinella),54400.0,8505.0,6355.0,115.0,8144.0,8597.0,19165.0,7451.0,64502.0,29625.0,22705.0,3903.0
Lemadang (Commond dolphin fish),78640.0,31560.0,74808.0,37577.0,15618.0,17514.0,36114.0,26693.0,15873.0,7739.0,7653.0,5276.0
Teri (Anchovies),0.0,900.0,345.0,345.0,17362.0,12098.0,15305.0,16003.0,20554.0,28783.0,10509.0,8523.0
Setuhuk hitam (Black Marlin),3152.0,6254.0,6104.0,5756.0,11267.0,6326.0,8204.0,8740.0,4608.0,9049.0,21420.0,32899.0
Ikan Pedang (Swordfish),1512.0,2632.0,1752.0,1923.0,4932.0,2262.0,8428.0,674.0,1890.0,735.0,3141.0,0.0
Kakap merah (Red snappers),210.0,4714.0,550.0,550.0,186.0,12.0,1543.0,113.0,2040.0,1165.0,2015.0,799.0
Tongkol krai (Frigate tuna),252381.0,221832.0,208930.0,262645.0,153880.0,151936.0,331137.0,272133.0,25631.0,332616.0,516908.0,322425.0
Tongkol komo (Eastern little tuna),1500.0,7250.0,600.0,2166.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cakalang (Skipjack tuna),1747501.0,1274673.0,1355795.0,1627932.0,1582258.0,1159081.0,1376364.0,1450902.0,998161.0,1195884.0,1095443.0,1436107.0
Kembung (Short0bodied mackerel),2755.0,11625.0,5805.0,3251.0,20972.0,23815.0,16432.0,16430.0,16454.0,32102.0,11419.0,11532.0
Madidihang (yellowfin tuna),1339228.0,1447670.0,1703626.0,2047954.0,1862234.0,1072257.0,1080690.0,1258929.0,99504.0,1355317.0,1608299.0,1838434.0
Tuna mata besar  (Bigeye tuna),2464.0,10748.0,4861.0,28123.0,47232.0,6538.0,17320.0,50.0,5305.0,4980.0,6169.0,1521.0
Kerapu karang (Blue lined seabass),450.0,20995.0,500.0,500.0,35.0,0.0,1506.0,0.0,1140.0,1322.0,1500.0,943.0
Cucut botol (Dogfish sharks),0.0,0.0,0.0,0.0,0.0,60675.5,76469.46428571429,74616.42857142857,0.0,0.0,0.0,0.0
Ekor kuning (Redbelly yellowtail fusilier),0.0,0.0,0.0,749.0,52.0,50.0,168.0,12.0,3247.0,4456.0,3033.0,2668.0
Ikan Terbang (Flying fish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,500.0,846.0
Tetengkek (Torpedo Scad),0.0,0.0,150.0,0.0,0.0,0.0,870.0,350.0,0.0,0.0,0.0,0.0
Tenggiri (Narrow0barred spanish mackerel),0.0,40.0,255.0,205.0,325.0,172.0,390.0,186.0,3650.0,123.0,279.0,43.0
ikan lainnya (Other fishes),9780.0,13033.0,54070.0,20520.0,21695.0,2731.0,2937.0,4665.0,20969.0,19312.0,53340.0,100507.0
Gurita (Octopuses),180.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0
Cumi 0 cumi (Commond squids),350.0,920.0,675.0,714.0,6141.0,15632.0,18827.0,27990.0,19684.0,15538.0,21610.0,33917.0
Manyung  (Giant catfish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0
Ikan Layaran                           (Indo0pacific sailfish),0.0,0.0,0.0,0.0,761.0,750.0,150.0,0.0,0.0,0.0,0.0,0.0
Gulamah/Tigawaja     (Croacker),0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alu0alu/Manggilala/ Pucul                         Great barracuda,0.0,0.0,100.0,0.0,6.0,58.0,38.0,43.0,0.0,65.0,39.0,61.0
Cendro                                (Needle fish),0.0,0.0,110.0,1110.0,1480.0,1118.0,289.0,1658.0,2129.0,4201.0,2794.0,479.0
Albakora    Albacore,1301.0,0.0,0.0,7400.0,355.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
Beronang kuning Barhed spinefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
