jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahun,Total_Produksi_Tahunan,Growth_Rate,Produksi_Tahun_Lalu,jenis_ikan_encoded
Albakora    Albacore,1301.0,0.0,0.0,7400.0,355.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0.000540495870894862,,,0
Albakora [ALB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,528.0,0.0,29.0,24.0,2021,4.370508717261337e-05,,,1
Albakora [ALB],132.54,608.0,2.454,272.0,23.0,19.631,50.0,23.0,157.0,667.0,1.098,4.455,2022,0.00011080623705351627,0.00012870021953751866,4.358205450769463e-05,1
Alu-alu/ Manggilala/ Pucul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,1.0,2020,8.462470654854221e-06,,,2
Alu-alu/ Manggilala/ Pucul,0.0,150.0,0.0,0.0,0.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6.158095686701449e-05,0.0003668403238599289,8.339433653752945e-06,2
Alu-alu/Manggilala/ Pucul                         Great barracuda,0.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,6.708825210150315e-06,,,3
Alu0alu/Manggilala/ Pucul                         Great barracuda,0.0,0.0,100.0,0.0,6.0,58.0,38.0,43.0,0.0,65.0,39.0,61.0,2018,2.3113895499315892e-05,,,4
Bawal Hitam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,1.7,2020,1.230380271687418e-07,,,5
Bawal Hitam,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,250.0,0.0,0.0,9300.0,2021,0.0005967256635411743,0.1497609026885335,0.0,5
Bawal hitam (Black pomfret),0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2018,6.369409962788269e-06,,,6
Bawal hitam (Black pomfret),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,700.0,0.0,0.0,2019,5.0832807367216347e-05,0.00040120404621857893,6.246372704160901e-06,6
Beronang kuning Barhed spinefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2018,6.559199655271546e-07,,,7
Cakalang (Skipjack tuna),1747501.0,1274673.0,1355795.0,1627932.0,1582258.0,1159081.0,1376364.0,1450902.0,998161.0,1195884.0,1095443.0,1436107.0,2018,0.9220837226771528,,,8
Cakalang (Skipjack tuna),952384.0,1126419.0,2058654.0,1540504.0,1806496.0,1329050.0,964140.0,677702.0,1446724.0,2406080.0,900036.0,959053.0,2019,0.9145679942856071,5.0403852270744184e-05,0.9220837130904865,8
Cakalang [SKJ],379.62,518.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,5.0739864158647035e-05,,,9
Cakalang [SKJ],1509037.0,1590755.0,2137195.0,1582614.0,1294178.0,1853808.0,1308285.0,1549319.0,1361043.0,1111086.0,1103817.0,1276326.0,2021,0.9999999999999999,1.0,5.0616832359273484e-05,9
Cakalang [SKJ],132.54,47.05,23.21,23.826,8.525,19.631,50.0,23.0,32.794,24.43,47.5815,8.815,2022,2.4890310050197e-05,0.0,0.9999999999999998,9
Cendro,0.0,0.0,0.0,0.0,0.0,0.0,100.0,350.0,0.0,0.0,0.0,0.0,2020,2.5376663815062867e-05,,,10
Cendro,0.0,250.0,0.0,0.0,150.0,150.0,0.0,200.0,0.0,0.0,0.0,0.0,2021,4.234742618316519e-05,8.469763092039421e-05,2.52536288950508e-05,10
Cendro,520.0,260.0,50.0,23.826,8.525,19.631,250.0,90.0,370.0,1.737,1.332,558.0,2022,0.00012171690988759296,0.00014588757190053372,4.2224393351202495e-05,10
Cendro                                (Needle fish),0.0,0.0,110.0,1110.0,1480.0,1118.0,289.0,1658.0,2129.0,4201.0,2794.0,479.0,2018,0.0008692761071728975,,,11
Cendro                                (Needle fish),786.0,430.0,140.0,60.0,150.0,0.0,300.0,0.0,648.0,210.0,270.0,0.0,2019,0.00016928872869657056,9.899375489907553e-06,0.0008691531760846208,11
Cucut botol (Dogfish sharks),0.0,0.0,0.0,0.0,0.0,60675.5,76469.46428571429,74616.42857142857,0.0,0.0,0.0,0.0,2018,0.011979094776652679,,,12
Cucut lainnya (SKH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,2021,1.1234361841644266e-05,,,13
Cumi - cumi (Commond squids),16519.0,21628.0,21759.0,32401.0,23585.0,8111.0,10293.0,9238.0,23064.0,75236.0,32248.0,39406.0,2019,0.017733688364435108,,,14
Cumi 0 cumi (Commond squids),350.0,920.0,675.0,714.0,6141.0,15632.0,18827.0,27990.0,19684.0,15538.0,21610.0,33917.0,2018,0.009164019060622374,,,15
Cumi-Cumi,20.173,15.653,9.939,22.844,9.207,11.845,6.485,1.745,6.52,11.668,8.934,3.489,2020,7.1897766156623355e-06,,,16
Cumi-Cumi,3360.0,7293.0,7089.0,9531.0,4890.0,7152.0,11641.0,8530.0,10950.0,10030.0,10935.0,7190.0,2021,0.005577135295708162,0.0389902832570736,7.066739457971274e-06,16
Cumi-Cumi,4.474,5.48,10.82,9.9,4.49,14.53,13.45,14.858,32.794,24.43,16.949,6.379,2022,8.889794451283038e-06,8.045869051295996e-08,0.005577012943865663,16
Ekor Kuning,510.0,2.15,0.0,75.0,40.0,380.0,190.0,0.0,0.0,0.0,220.0,100.0,2020,8.57444940187975e-05,,,17
Ekor Kuning,0.0,0.0,1100.0,910.0,330.0,0.0,200.0,0.0,40.0,570.0,1000.0,980.0,2021,0.0002901205567574591,0.00017183619853717064,8.562146652632508e-05,17
Ekor kuning (Redbelly yellowtail fusilier),0.0,0.0,0.0,749.0,52.0,50.0,168.0,12.0,3247.0,4456.0,3033.0,2668.0,2018,0.0008164970362080994,,,18
Ekor kuning (Redbelly yellowtail fusilier),331.0,130.0,400.0,1305.0,900.0,400.0,260.0,6840.0,4108.0,37556.0,6560.0,1655.0,2019,0.0034192462913960582,0.00021279921609044687,0.000816374098625989,18
Gulamah/ Tigawaja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.405,0.0,0.0,0.0,2020,0.0,,,19
Gulamah/Tigawaja     (Croacker),0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,7.557363328555431e-06,,,20
Gurita (Octopuses),180.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,2018,3.4993429156987516e-05,,,21
Ikan Gindara,0.0,0.0,291.0,49.0,0.0,320.0,0.0,0.0,0.0,0.0,422.0,0.0,2020,6.112840320386509e-05,,,22
Ikan Layaran                           (Indo-pacific sailfish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,2019,2.5376663815062867e-05,,,23
Ikan Layaran                           (Indo0pacific sailfish),0.0,0.0,0.0,0.0,761.0,750.0,150.0,0.0,0.0,0.0,0.0,0.0,2018,9.388197457430256e-05,,,24
Ikan Layaran [SFA],0.0,22.0,109.0,132.0,0.0,26.0,645.0,0.0,1.738,0.0,0.0,600.0,2020,8.679600245512512e-05,,,25
Ikan Layaran [SFA],0.0,0.0,0.0,0.0,45.0,150.0,130.0,0.0,273.0,0.0,352.0,57.0,2021,5.688571261183951e-05,3.3321521332867475e-05,8.667297509202824e-05,25
Ikan Layaran [SFA],172.0,47.05,449.0,23.826,8.525,885.0,50.0,129.0,45.0,9.143,522.0,3.495,2022,0.00013252094976479,0.00011829318460633971,5.6762681568639116e-05,25
Ikan Pedang (Swordfish),1512.0,2632.0,1752.0,1923.0,4932.0,2262.0,8428.0,674.0,1890.0,735.0,3141.0,0.0,2018,0.0016902650213337941,,,26
Ikan Pedang (Swordfish),0.0,754.0,6885.0,4943.0,921.0,459.0,2678.0,3390.0,111.0,645.0,1096.0,141.0,2019,0.0012457441857053008,3.745378018284409e-05,0.001690142191258386,26
Ikan Pedang [SWO],0.0,1.342,3.152,10.47,4.616,20.516,13.434,2.67,7.69,6.064,12.388,7.661,2020,5.0119186809637645e-06,,,27
Ikan Pedang [SWO],9490.0,16610.0,11054.0,7102.0,7691.0,10165.0,34952.0,12277.0,13877.0,23554.0,27691.0,23683.0,2021,0.011208882787562918,0.11188125744475748,4.888881255313326e-06,27
Ikan Pedang [SWO],8.385,10.868,23.21,16.355,3.946,19.631,10.772,7.412,12.629,4.753,11.459,4.341,2022,7.48727407997517e-06,3.3037299416632034e-08,0.011208761128639602,27
Ikan Pelagis kecill lainnya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6290.0,0.0,2021,0.00035574083791412134,,,28
Ikan Pelagis kecill lainnya,210.0,47.05,100.0,200.0,550.0,200.0,700.0,817.369,579.0,615.0,950.0,1.476,2022,0.0002810635437276423,4.01524327016687e-05,0.00035561784364147045,28
Ikan Terbang,885.0,933.0,0.0,0.0,250.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0.00012369394713426899,,,29
Ikan Terbang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,70.0,0.0,0.0,0.0,2021,8.971593525897292e-06,3.7149533495709774e-06,0.00012357092431102294,29
Ikan Terbang (Flying fish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,500.0,846.0,2018,0.0001923689655171897,,,30
Ikan Terbang (Flying fish),101.0,822.0,1130.0,1658.0,571.0,312.0,1588.0,1623.0,1221.0,1591.0,296.0,70.0,2019,0.0006212201305591354,0.00016406363709349666,0.00019224595114358348,30
Ikan demersal lainnya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2021,1.6891282631011708e-05,,,31
Julung-Julung,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,8.123055407492174e-06,,,32
