jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Teri,4.015,3.960,3.075,1.450,4.130,3.800,4.420,7.367,10.212,18.607,10.778,8.815
Teri nasi,,,,,,,,,,,,
Belanak,,,,,,,,,,,,165
Selar Bentong,54.418,44.100,63.155,45.075,61.280,44.420,76.480,18.667,14.224,32.510,34.494,49.305
Cendro,520,260,50,,,,250,90,370,1.737,1.332,558
Talang-Talang,,,,,,,,,,,,
Ikan Terbang,,,,,,,,,60,130,100,
Japuh,,,,,,,,,,,,
Julung-Julung,50,,,,,,,,,,,
Banyar,,,,,,,,,,2.000,20.000,35.544
Kembung,132.540,8.940,12.835,2.190,2.440,7.285,5.230,5.762,1.990,12.595,6.597,5.588
Layang Anggur,,,,,,,,,,,,
Layang Deles,549.057,685.413,1.184.383,1.036.435,723.802,947.740,773.332,947.803,1.069.268,834.659,689.934,642.462
Layang [Lajeng],,,,,,,,,,,,
Layang Benggol,,,,,,,,,,,,
Lemuru,,,,,,,,,,,,1.000
Siro,13.785,1.945,28.275,3.435,1.695,430,2.600,3.299,7.003,8.963,6.150,3.207
Selar Komo,,,,,,,,,,,,
Selar Hijau,,,,,,,,,,,,
Selar Kuning,,,,,,,,,,,,
Sunglir,5.410,852,1.582,955,394,,100,340,2.015,1.379,625,275
Tembang,,,,,,,,,,,,
Selanget,,,,,,,,,,,,
Terubuk,,,,,,,,,,,,
Tetengkek,,,,,,,,,,,,
Semar,,,,,,,1.000,,,,,100
Ikan Pelagis kecill lainnya,210,,100,200,550,200,700,817.369,579,615,950,1.476
Sub Total                  (ikan Pelagis Besar),,,,,,,,,,,,
Albakora [ALB],,608,2.454,272,23,,,,157,667,1.098,4.455
Tuna Mata Besar [BET],6.478,13.500,18.736,23.826,10.042,16.543,15.251,22.134,27.866,31.470,41.363,55.743
Tuna Sirip Biru Selatan [SBT],,,,,,,,,,,,
Tongkol Sirara-Gigi Anjing,,,,,,,,,,25,,
Madidihang [YFT],688.723,1.043.955,1.367.448,1.341.447,1.425.205,1.379.966,977.206,1.080.063,1.602.685,1.677.462,1.710.399,1.720.312
Tongkol Abu-Abu [LOT],,,,,1.000,,,73.968,81.712,169.885,53.800,51.600
Tongkol Banyar [KAW],,,,,15.480,,,,7.244,107.370,8.000,
Tongkol Pisang-Balaki [FRI],404.716,292.165,411.816,354.610,211.370,345.651,306.343,205.921,331.201,314.516,213.913,230.048
Tongkol Pisang-Cerutu [BLT],,,,,,,,,,,,
Kenyar,,,,,,,,,,,,
Slengseng,,,,,,,,,,,,
Cakalang [SKJ],1.097.425,1.641.904,2.432.336,2.143.306,1.836.547,1.793.916,1.069.998,1.523.276,3.097.095,2.549.853,2.649.172,2.269.116
Lemadang,325,50,85,830,2.950,,50,105,570,969,828,1.356
Ikan Layaran [SFA],172,,449,,8.525,885,,129,45,9.143,522,3.495
Ikan Pedang [SWO],8.385,10.868,23.210,16.355,3.946,19.631,10.772,7.412,12.629,4.753,11.459,4.341
Ikan Tumbuk (SSP),,,,,,,,,,,,
Setuhuk biru (BUM),826,831,1.042,3.140,692,1.452,1.232,1.429,1.155,9.400,3.912,1.452
Setuhuk Hitam [BLM],,64,88,480,,,93,181,106,,351,
Setuhuk Loreng [MLS],,,,,,,,,,,,
Tenggiri [COM],180,,,,25.500,,,15,190,43.644,37,
Tenggiri Papan [GUT],,,,,,,,,,17.070,,8
Nyunglas (WAH),,,,,,,,,,,,
Ikan Gindara,,,,,,,,,,,,
Cucut Gergaji,,,,,,,,,,,,
Cucut botol (PSK),,,,,,,,,,3.350,,
Cucut Koboi (OCS),,,,,,,,,,,,
Cucut Lanjam,,,,,,,,,,,,
Cucut Macan (TIG),,,,,,,,,,,,
Cucut Martil [SPN],,,,,,,,,,,,
Cucut Selendang (BSH),,,,,,,,,,,,
Cucut tikus/ Cucut monyet (THR),,,,,,,,,,,,
Cucut lainnya (SKH),,,,,,,,,,,,
Cucut Mako [MAK],,,,,,,,,,550,3.896,
Ikan Paus (RHN),,,,,,,,,,,,
Ikan Pelagis besar lainnya,,,,,2.000,,,40,45,,,
Sub Total              (Ikan Demersal),,,,,,,,,,,,
Manyung,,,,,3.500,,,,,140,6.897,
Ikan Sebelah,,,,,,,,,,,,
Lolosi Biru,,,,,,,,,1.580,662,685,520
Kwe,,,,,6.300,,,23,60,850,461,444
Bawal Hitam,,,,,6.400,,,,,3.540,,
Bawal Putih,,,,,,,,,,,,
Golok-Golok,,,,,,,,,,,,
Bawal belang,,,,,,,,,,,,
Beloso,,,,,,,,,,,,
ikan Lidah,,,,,,,,,,,,
Gerot-Gerot,,,,,,,,,,,,
Gaji,,,,,,,,,,,,
Nomei,,,,,,,,,,,,
Kapas-Kapas,,,,,,,,,,,,
Peperek,,,,,,,,,,200,,16
Lencam,,,,,,,,,,,,
Kakap,,,,,,,,,,30,2.805,
Kakap Batu,,,,,,,,,,,,
Kakap Hitam,,,,,,,,,,,,
Kakap Merah,,,,,,,,16,,230,1.748,30
Jenaha,,,,,,,,,,,,
Trisi,,,,,,,,,,,,
Pinjalo,,,,,,,,,,,,
Kurisi,100,,,,,,,50,5,1.000,68,
Kuniran,,,,,,,,,,,,
Biji Nangka,,,,,,,,15,,,,
Biji Nangka Karang,,,,,,,,,,,,
Kurau,,,,,,,,,,,,
Kuro,,,,,,,,,,170,,
Swanggi/  Mata besar,,,,,,,,,,,,
Serinding tembakau,,,,,,,,,,,,
Gulamah/ Tigawaja,,,,,800,,,,,140,,
Rejung,,,,,,,,,,,,
Alu-alu/ Manggilala/ Pucul,,,,,,,,,25,1.050,103,99
Senuk,,,,,,,,6,,,,
Kerong-kerong,,,,,,,,,,,,
Layur,,,,,,,,,150,,,
Pari kembang/ Pari macan (PSL),,,,,,,,,,,,
Pari kelelawar (MAN),,,,,,,,,,,,
Pari burung,,,,,,,,,,,,
Pari hidung sekop,,,,,,,,,,,,
Pari kekeh,,,,,,,,,,,,
Pari lainnya,,,,,,,,,,,,
Remang/ Cunang/ Pucuk nipah,,,,,,,,,,,,
Gabus,,,,,,,,,,1.500,762,
Samgeh,,,,,,,,,,,,
Kambing-kambing/ Ayam-ayam,,,,,,,,,,,,
Sembilang,,,,,,,,,,,,
Opah,,,,,,,,,,,,
Ikan demersal lainnya,,,,,,,,,650,1.085,425,215
Sub Total                (Ikan Karang),,,,,,,,,,,,
Ekor Kuning,150,,,,,,,,,,,30
Napoleon,,,,,,,,,,,,
Kerapu Karang,9.688,2.471,4.500,3.692,4.400,12.150,13.000,7.641,5.500,12.998,314,17.473
Kerapu Bebek,,,,,,,,,,,,
Kerapu Balong,,,,,,,,,,,12.580,
Kerapu Lumpur,,,,,,,,,,,,
Krapu Sunu,,,,,,1.500,,,4.075,3.200,,1.700
Beronang lingkis,,,,,,,,,10,,,
Beronang kuning,,,,,,,,,,,,
Ikan Beronang,,,,,,,,,,,,
Kakak Tua,,,,,,,,,,15,62,24
Ikan karang lainnya,,,,,,,,,,,,
Sub Total         (Binatang Berkulit Keras),,,,,,,,,,,,
Udang Dogol,,,,,,,,,,,,
Udang Jerbung,,,,,,,,,,,,
Udang Krosok,,,,,40,,,,,,,
Udang ratu/raja,,,,,,,,,,,,
Udang Windu,,,,,,,,,,,,
Udang Barong,,,,,,300,,,,,,
Udang kipas,,,,,,,,,,,,
Udang ketak,,,,,,,,,,,,
Udang lainnya,,,,,,,,,,,,
Lobster mutiara,,,,,,,,,,,,
Lobster pakistan,,,,,,,,,,,,
Lobster pasir,,,,,,,,,,,,
Lobster bambu,,,,,,,,,,,,
Lobster batik,,,,,,,,,,,,
Lobster batu,,,,,,,,,,,,
Lobster lainnya,,,,,,,,,,,,
Kepiting,,,,,,,,,,,,
Rajungan,,,,,,,,,,,,
Binatang berkulit keras lainnya,,,,,,,,,,,,
Sub Total,,,,,,,,,,,,
Kerang Darah,,,,,,,,,,,,
Kerang Hijau,,,,,,,,,,,,
Kerang mutiara/       Tapis-tapis,,,,,,,,,,,,
Cumi-Cumi,4.474,5.480,10.820,9.900,4.490,14.530,13.450,14.858,32.794,24.430,16.949,6.379
Sotong,,,,,,,,,,,,
Gurita,,,,,,,,,,,,
Tiram,,,,,,,,,,,,
Simping,,,,,,,,,,,,
Remis,,,,,,,,,,,,
Lola,,,,,,,,,,,,
Binatang lunak lainnya,,,,,,,,,,,,
Sub Total,,,,,,,,,,,,
Teripang,,,,,,,,,,,,
Ubur-Ubur,,,,,,,,,,,,
Bunga karang,,,,,,,,,,,,
Penyu hijau,,,,,,,,,,,,
Penyu sisik,,,,,,,,,,,,
Penyu lekang,,,,,,,,,,,,
Penyu belimbing,,,,,,,,,,,,
Penyu pipih,,,,,,,,,,,,
Penyu tempayan,,,,,,,,,,,,
Penyu lainnya,,,,,,,,,,,,
Lainnya,,,,,,,,,,,,
Rumput laut,,,,,,,,,,,,
